,법정동명,지하철역,버스정류소,서점,골프연습장업,목욕장업,세탁업,영화상영관,제과점영업,체력단련장업,구분없음,대규모점포,대형마트,백화점,복합쇼핑몰,쇼핑센터,시장,병원,약국,의원,치안센터,경찰서,119안전센터,공원수,노래방수,당구장,도서관,박물관미술관,우체국,음식점수,카페수,패스트푸드,경양식,분식,일식,중국식,한식,의료,생활편의시설,교통,쇼핑시설,장보기시설,생활복지시설,여가
240,동소문동1가,0,2,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,1,0,0,0,26,5,2,0,1,1,1,10,11,0,2,1,2,0,3
241,동소문동2가,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,5,10,0,0,0,0,3,1,0,0,0,70,5,1,1,3,3,0,30,15,0,3,0,2,0,6
242,동소문동3가,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,8,0,0,0,0,1,4,0,0,0,13,3,0,2,0,0,1,3,11,1,2,0,0,0,6
243,동소문동4가,0,2,2,0,1,3,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,18,5,1,0,0,2,1,6,5,4,2,2,0,0,1
244,동소문동5가,0,2,0,0,1,2,0,1,2,0,0,0,0,0,0,1,0,2,6,0,0,0,0,1,4,0,0,0,85,2,0,2,2,7,3,33,8,3,2,0,2,0,7
245,동소문동6가,0,2,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,5,23,0,0,0,0,1,0,0,0,0,25,8,0,2,2,0,0,11,28,1,2,0,1,0,3
246,동소문동7가,0,3,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,15,2,1,0,2,1,0,3,2,2,3,0,2,0,0
247,삼선동1가,1,5,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,1,1,0,0,0,30,6,2,1,2,2,0,13,5,1,6,0,3,0,2
248,삼선동2가,0,13,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,4,0,0,0,71,7,1,3,5,2,4,38,1,2,13,0,2,0,9
249,삼선동3가,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,12,3,0,2,1,1,0,3,0,2,7,0,0,1,1
250,삼선동4가,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,2,1,0,0,0,56,10,0,1,0,1,3,29,6,1,3,0,0,1,4
251,삼선동5가,0,5,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,6,0,0,0,0,3,0,0,0,0,70,11,1,2,5,2,3,25,7,0,5,0,2,0,4
252,동선동1가,0,2,0,0,0,0,5,3,7,0,0,0,0,0,1,0,1,6,13,0,0,0,0,18,7,0,0,0,268,19,2,24,16,11,13,74,20,0,2,1,3,0,37
