,법정동명,골프연습장업,목욕장업,석유판매업,세탁업,영화상영관,제과점영업,체력단련장업
142,입정동,0,0,0,0,0,0,0
143,산림동,0,0,0,0,0,2,0
144,충무로3가,1,0,0,0,0,0,3
145,초동,1,0,0,1,3,0,1
146,인현동1가,0,1,0,1,0,0,2
147,저동2가,1,0,0,0,0,1,0
148,신당동,15,6,8,41,0,23,24
149,흥인동,2,0,0,0,0,2,4
150,무학동,0,0,1,0,0,0,0
151,황학동,4,2,0,6,0,6,8
152,서소문동,2,0,0,0,0,3,3
153,정동,3,0,0,0,1,2,2
154,순화동,3,1,0,1,0,1,3
155,의주로1가,1,0,0,0,0,1,2
156,충정로1가,1,0,0,0,1,1,0
157,중림동,1,0,0,4,0,4,2
158,의주로2가,0,0,0,0,0,0,0
159,만리동1가,0,0,0,0,0,2,1
160,만리동2가,1,0,0,1,0,2,1
161,후암동,1,3,1,6,0,5,1
162,용산동2가,0,1,0,3,0,5,1
163,용산동4가,0,0,0,0,0,0,0
164,갈월동,0,1,0,2,0,5,2
165,남영동,1,0,1,0,0,0,5
166,용산동1가,0,0,0,0,0,0,0
167,동자동,2,1,1,2,0,13,1
168,서계동,0,0,2,3,0,3,1
169,청파동1가,1,0,0,5,0,0,1
170,청파동2가,0,1,0,3,0,3,1
171,청파동3가,2,2,0,2,0,2,1
172,원효로1가,1,0,0,3,0,5,5
173,원효로2가,0,0,1,1,0,2,0
174,신창동,0,0,0,1,0,0,0
175,산천동,2,0,0,1,0,3,0
176,청암동,0,0,1,0,0,0,0
177,원효로3가,1,2,2,1,0,0,0
178,원효로4가,0,0,0,0,0,1,1
179,효창동,0,0,0,1,0,3,1
180,도원동,0,1,0,2,0,4,0
181,용문동,0,1,0,3,0,4,0
182,문배동,0,0,0,4,0,1,1
183,신계동,2,0,0,1,0,0,0
184,한강로1가,1,0,1,4,0,3,0
185,한강로2가,1,0,1,4,0,10,1
186,용산동3가,0,0,0,1,0,2,0
187,용산동5가,0,0,0,1,0,3,1
188,한강로3가,2,3,1,5,28,13,6
189,이촌동,4,3,1,9,0,6,6
190,이태원동,1,4,0,10,0,16,9
191,한남동,3,2,6,9,0,23,26
192,동빙고동,1,0,0,1,0,1,2
193,서빙고동,0,0,1,0,0,0,1
194,주성동,0,0,0,0,0,0,0
195,용산동6가,0,1,0,0,0,0,0
196,보광동,0,5,2,8,0,2,4
197,상왕십리동,0,0,0,3,0,1,1
198,하왕십리동,4,2,1,10,0,9,8
199,홍익동,1,0,1,2,0,3,1
200,도선동,0,1,2,6,0,4,7
201,마장동,4,0,1,9,0,3,2
202,사근동,0,1,1,4,0,2,0
203,행당동,6,0,0,18,10,20,11
204,응봉동,3,1,0,7,0,1,0
205,금호동1가,2,1,0,9,0,1,3
206,금호동2가,0,0,0,4,0,2,1
207,금호동3가,1,0,0,6,0,5,1
208,금호동4가,2,2,2,4,0,6,3
209,옥수동,3,2,1,11,0,10,11
210,성수동1가,7,2,5,13,7,32,13
211,성수동2가,9,5,6,18,0,26,19
212,송정동,0,0,2,5,0,4,1
213,용답동,2,1,3,4,0,1,3
214,중곡동,10,7,8,39,0,27,26
215,능동,2,0,1,4,0,3,4
216,구의동,20,5,2,43,11,27,41
217,광장동,5,5,2,9,0,9,9
218,자양동,21,7,3,54,16,35,41
219,화양동,4,0,1,11,1,15,17
220,군자동,4,1,1,12,9,7,15
221,신설동,3,2,1,3,0,3,4
222,용두동,6,2,3,16,0,6,6
223,제기동,2,1,5,7,0,11,9
224,전농동,4,5,4,26,8,17,10
225,답십리동,6,2,2,17,0,14,14
226,장안동,16,4,3,39,7,27,27
227,청량리동,0,3,3,7,0,5,7
228,회기동,1,2,0,4,0,11,11
229,휘경동,6,1,5,18,0,9,12
230,이문동,1,1,4,13,0,8,6
231,면목동,8,6,9,66,0,36,23
232,상봉동,3,1,3,19,14,12,16
233,중화동,3,4,5,16,0,7,7
234,묵동,4,2,1,20,8,12,7
235,망우동,3,4,2,23,0,16,8
236,신내동,6,3,2,19,0,17,9
237,성북동,1,0,0,7,0,4,1
238,성북동1가,0,0,0,0,0,3,1
239,돈암동,5,1,1,12,3,3,3
240,동소문동1가,0,0,0,0,0,2,2
