,법정동명,석유판매업,공원수,음식점수,장보기시설,쇼핑시설,의료,치안,생횔편의시설,여가,교통
35,인사동,0,1,164,0.0,0.0,3,0,3,1,2
36,낙원동,0,0,232,0.0,2.0,6,0,9,12,1
37,종로2가,0,1,60,0.0,0.0,17,1,2,2,6
38,팔판동,0,0,34,0.0,0.0,0,0,0,0,2
39,삼청동,0,1,100,0.0,0.0,0,0,1,3,7
40,안국동,0,0,37,0.0,0.0,6,0,0,0,3
41,소격동,0,0,44,0.0,0.0,3,1,2,1,1
42,화동,0,0,31,0.0,0.0,0,0,2,0,1
43,사간동,0,0,21,0.0,0.0,0,0,0,0,0
44,송현동,0,0,0,0.0,0.0,0,0,0,0,1
45,가회동,0,0,24,0.0,0.0,1,0,1,0,8
46,재동,0,0,75,0.0,0.0,2,0,3,4,4
47,계동,0,0,74,0.0,0.0,3,0,9,1,6
48,원서동,0,1,29,0.0,0.0,0,0,1,1,3
49,훈정동,0,0,0,0.0,0.0,0,0,0,0,0
50,묘동,0,0,75,0.0,0.0,4,2,3,3,2
51,봉익동,0,0,44,0.0,0.0,1,0,1,0,0
52,돈의동,0,0,127,0.0,0.0,2,0,1,6,1
53,장사동,0,0,25,0.0,0.0,0,0,1,2,1
54,관수동,0,0,106,0.0,0.0,3,0,3,3,1
55,종로3가,0,0,70,0.0,0.0,21,0,3,4,8
56,인의동,1,0,71,0.0,2.0,4,0,4,2,2
57,예지동,0,0,25,1.0,1.0,0,0,1,0,3
58,원남동,0,0,39,0.0,0.0,5,0,3,3,4
59,연지동,0,1,59,0.0,0.0,2,0,0,2,1
60,종로4가,0,0,41,0.0,0.0,21,0,0,1,6
61,효제동,0,0,105,0.0,0.0,6,0,1,2,3
62,종로5가,0,0,225,0.0,0.0,58,1,1,10,8
63,종로6가,0,1,94,0.0,3.0,25,1,3,3,5
64,이화동,0,0,55,0.0,0.0,0,0,2,2,2
65,연건동,0,0,70,0.0,0.0,12,1,8,4,15
66,충신동,0,0,32,0.0,0.0,2,0,3,1,3
67,동숭동,1,1,256,0.0,0.0,8,1,3,5,2
68,혜화동,1,0,102,0.0,0.0,15,2,4,2,11
69,명륜1가,0,0,50,0.0,0.0,6,1,4,2,5
70,명륜2가,1,0,189,0.0,0.0,7,0,3,21,5
71,명륜4가,0,0,229,0.0,0.0,10,0,5,8,3
72,명륜3가,0,1,115,0.0,0.0,1,0,2,3,10
73,창신동,0,0,449,1.0,2.0,47,2,17,22,17
74,숭인동,0,2,321,2.0,1.0,22,2,16,24,20
75,교남동,0,0,40,0.0,0.0,3,0,1,3,4
76,평동,0,0,34,0.0,0.0,16,0,2,1,7
77,송월동,0,3,5,0.0,0.0,0,0,0,0,1
78,홍파동,0,0,17,0.0,0.0,4,0,1,0,1
79,교북동,0,0,29,0.0,0.0,3,1,3,0,6
80,행촌동,0,1,22,0.0,0.0,1,0,1,1,4
81,구기동,0,0,50,0.0,0.0,5,1,5,6,18
82,평창동,3,3,79,0.0,0.0,9,0,8,9,36
83,부암동,2,1,65,0.0,0.0,2,0,6,1,9
84,홍지동,1,0,44,0.0,0.0,1,1,4,0,19
85,신영동,0,0,28,0.0,0.0,2,1,3,4,6
