기준년분기코드,행정동코드,집객시설수,관공서수,은행수,종합병원수,일반병원수,약국수,유치원수,초등학교수,중학교수,고등학교수,대학교수,백화점수,슈퍼마켓수,극장수,숙박시설수,공항수,철도역수,버스터미널수,지하철역수,버스정거장수
202203,11710670,77,4,6,,,14,1,2,2,2,,,,,,,,,1,5
202203,11710642,138,10,12,,1,22,,1,,,,,,,,,,,3,15
202203,11740540,100,3,6,,,18,4,2,,1,,,,,,,,,1,19
202203,11110560,157,6,2,,1,5,1,,,1,1,,,,,,,,,90
202203,11110615,483,19,35,,,48,1,2,,,4,,1,,17,,,,5,72
202203,11110630,208,7,8,,,31,,1,,,1,,4,,3,,,,3,22
202203,11110680,39,2,1,,,5,,,,,,,,,,,,,,2
202203,11140605,141,5,10,,,13,,,,,,,1,,3,,,,4,20
202203,11140570,120,6,9,1,,7,,2,,1,20,,,,1,,,,2,15
202203,11170530,145,7,5,,,15,,,1,,,,,,12,,,,3,26
202203,11170555,113,7,2,,1,11,,2,2,4,22,,1,,1,,,,,33
202203,11170700,63,3,1,,,8,1,,1,1,6,,,,,,,,,13
202203,11215847,94,5,2,,1,15,1,,1,,,,1,,,,,,1,16
202203,11215820,93,3,4,1,,14,1,1,,,2,,,,,,,,,17
202203,11230610,90,3,2,,2,13,3,1,,,,,3,,,,,,,19
202203,11230650,165,5,11,,4,26,2,2,2,,,,,,,,,,,43
202203,11215850,70,2,4,,,9,1,,1,1,,,,,,,,,1,16
202203,11260610,115,2,3,,,14,,,,,,,2,,,,,,3,32
202203,11290590,73,4,2,,,4,6,1,,,,,,,,,,,,37
202203,11290685,103,5,,,3,14,,,,,,,,,,,,,,23
202203,11305555,157,9,5,,1,17,,1,2,2,,,2,,,,,,2,23
202203,11305535,136,3,3,,1,14,,,,1,4,,,,,,,,1,27
202203,11320513,58,1,,,,7,1,2,,,,,1,,,,,,,27
202203,11320660,116,6,1,,1,4,1,3,,1,17,,,,,,,,,55
202203,11380625,149,5,5,,2,18,2,1,,,,,,,,,,,,49
202203,11380631,83,3,,,,8,3,,1,,5,,,,,,,,1,23
202203,11380600,130,3,3,,1,16,2,1,2,1,,,2,,,,,,,31
202203,11410660,80,3,,,,7,1,1,,,,,,,1,,,,,35
202203,11410710,49,1,2,,,5,2,1,1,1,,,,,,,,,,14
202203,11710580,87,2,4,,3,14,1,1,,,,,,,,,,,,13
202203,11440655,148,6,4,,,7,1,1,,,20,,,,,,,,2,68
202203,11440660,341,13,22,,,31,1,1,,,2,,,,3,,,,7,86
202203,11470650,138,3,8,1,1,16,3,2,,2,,,,,,,,,1,16
202203,11470630,59,3,1,,,7,1,2,1,,,,,,,,,,,19
202203,11470560,54,3,3,,,12,1,,,,,,,,,,,,,9
202203,11500510,116,6,3,,1,15,,2,2,,,,,,,,,,2,35
202203,11500540,201,3,2,,2,26,,2,1,,,,,,,,,,2,27
202203,11500603,253,4,13,,,20,3,1,1,1,,,,,2,,,,5,69
202203,11530510,132,3,4,,,12,2,1,1,1,1,,1,,1,,,,3,42
202203,11500604,69,4,3,,,7,3,1,1,1,,,,,,,,,1,13
202203,11530720,122,5,4,1,1,9,,3,1,1,12,,8,,4,,,,,32
202203,11560560,171,6,4,,,20,3,2,2,,,,,,,,,,2,44
202203,11545620,56,2,1,,,8,,2,,,1,,,,,,,,,11
202203,11560690,67,5,1,,,7,1,1,,,,,,,1,,,,1,28
202203,11560710,81,4,2,1,,16,,2,,,1,,,,1,,,,1,13
202203,11590550,98,2,2,,,11,,,1,,,,1,,,,,,,35
202203,11590651,54,4,,,,3,1,2,1,1,,,,,,,,,,28
202203,11590530,182,5,4,,1,16,2,2,1,,23,,,,,,,,2,48
202203,11620695,165,2,3,,,17,,,,,,,,,4,,,,1,16
202203,11620585,140,2,3,,,10,,1,,,37,,,,2,,,,,39
202203,11620615,81,1,3,,1,14,,1,,,,,,,,,,,1,12
202203,11620665,66,2,,,,5,1,1,1,,,,,,,,,,,35
202203,11620725,88,3,1,,1,12,,1,,,,,1,,,,,,,30
202203,11710620,129,5,9,1,5,21,1,2,2,,,,,,,,,,,22
202203,11710631,62,2,8,,,13,1,1,1,,,,1,,,,,,3,12
202203,11710646,106,4,3,,,10,1,2,1,3,,,,,,,,,1,40
202203,11710710,133,4,17,,1,23,,1,1,,,,,,,,,,2,13
202203,11110530,190,18,24,,,15,,1,,,1,,,,,,,,2,33
202203,11110640,111,4,4,1,,10,,,2,,35,,,,,,,,,28
202203,11140540,211,9,17,,,16,1,,,,2,,2,,2,,,,6,41
202203,11140580,58,6,2,,,1,,1,,,2,,,,2,,,,1,13
202203,11200650,76,4,2,,,4,1,2,2,1,,,,,,,,,1,33
202203,11170660,56,8,5,,,3,1,1,,1,,,,,,,,,,22
202203,11200690,94,3,16,,,11,,2,,,,,,,,,,,1,20
202203,11230720,72,2,1,,,12,,,,,,,,,1,,,,3,17
202203,11260550,43,2,1,,,3,,,,,,,4,,,,,,,17
202203,11260580,72,3,1,,1,8,2,1,2,1,,,,,,,,,5,15
202203,11290630,98,4,3,,,6,1,2,,,,,,,,,,,,51
202203,11290760,97,4,1,,,8,6,1,1,,,,,,,,,,,38
202203,11305534,150,4,1,,,14,3,2,,1,,,,,,,,,2,36
202203,11290725,120,6,4,,,12,2,,1,,12,,,,,,,,2,32
202203,11320511,76,3,2,,,7,1,1,2,1,,,,,,,,,,28
202203,11305608,91,3,1,,,8,,2,,,,,,,,,,,,39
202203,11320680,68,3,3,1,,12,,,1,,,,,,1,,,,1,17
202203,11320710,94,3,3,,,6,3,3,1,,,,,,,,,,,49
202203,11320690,134,6,6,,2,15,2,1,1,1,,,,,,,,,1,39
