,법정동명,지하철역,버스정류소,서점,골프연습장업,목욕장업,세탁업,영화상영관,제과점영업,체력단련장업,구분없음,대규모점포,대형마트,백화점,복합쇼핑몰,쇼핑센터,시장,병원,약국,의원,치안센터,경찰서,119안전센터,공원수,노래방수,당구장,도서관,박물관미술관,우체국,음식점수,카페수,패스트푸드
61,효제동,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0.0,0.0,0.0,102.0,6.0,0.0
62,종로5가,1,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27,31,0,1,0,0,2,8,0.0,0.0,0.0,225.0,13.0,0.0
63,종로6가,1,4,9,0,0,1,0,2,0,0,3,0,0,0,0,0,0,5,20,0,1,0,1,1,2,0.0,0.0,0.0,93.0,13.0,1.0
64,이화동,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,55.0,6.0,1.0
65,연건동,0,15,0,1,0,2,0,6,2,0,0,0,0,0,0,0,2,9,1,0,0,1,0,0,1,0.0,2.0,2.0,70.0,21.0,3.0
66,충신동,0,3,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0.0,1.0,1.0,30.0,1.0,0.0
67,동숭동,0,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,6,0,1,0,1,4,1,0.0,3.0,3.0,254.0,32.0,3.0
68,혜화동,0,11,5,0,0,3,0,1,2,0,0,0,0,0,0,0,0,4,11,0,2,0,0,0,0,0.0,1.0,1.0,100.0,17.0,3.0
69,명륜1가,0,5,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,2,0.0,1.0,1.0,49.0,4.0,0.0
70,명륜2가,0,5,2,0,1,2,8,0,2,0,0,0,0,0,0,0,0,1,6,0,0,0,0,7,4,0.0,1.0,1.0,184.0,18.0,4.0
71,명륜4가,1,2,1,0,0,1,0,4,1,0,0,0,0,0,0,0,0,8,2,0,0,0,0,6,1,0.0,0.0,0.0,226.0,13.0,3.0
72,명륜3가,0,10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1.0,1.0,1.0,112.0,12.0,1.0
73,창신동,2,15,1,1,3,7,0,7,3,0,2,0,0,0,0,1,0,11,36,0,2,0,0,7,11,0.0,0.0,0.0,441.0,29.0,5.0
74,숭인동,2,18,4,2,3,8,0,5,5,1,1,0,0,0,0,1,1,7,14,0,1,1,2,11,6,1.0,0.0,0.0,316.0,18.0,5.0
75,교남동,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0.0,0.0,0.0,39.0,3.0,1.0
76,평동,1,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,10,5,0,0,0,0,0,1,1.0,0.0,0.0,35.0,14.0,0.0
77,송월동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0,0.0,0.0,5.0,0.0,0.0
78,홍파동,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,0.0,17.0,1.0,0.0
79,교북동,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0.0,0.0,0.0,29.0,3.0,0.0
80,행촌동,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0.0,0.0,0.0,22.0,0.0,0.0
81,구기동,0,18,0,1,1,3,0,1,1,0,0,0,0,0,0,0,0,2,3,1,0,0,0,2,2,0.0,1.0,1.0,50.0,6.0,1.0
82,평창동,0,36,1,4,0,5,0,3,4,0,0,0,0,0,0,0,1,3,5,0,0,0,3,0,1,0.0,5.0,5.0,77.0,28.0,1.0
83,부암동,0,9,1,0,1,2,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0.0,3.0,3.0,65.0,13.0,2.0
84,홍지동,0,19,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,2.0,2.0,42.0,9.0,1.0
85,신영동,0,6,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0.0,0.0,0.0,28.0,7.0,0.0
86,무악동,0,5,0,1,0,3,0,3,0,0,0,1,0,0,0,0,1,5,3,0,0,0,1,1,0,0.0,0.0,0.0,49.0,10.0,3.0
