,읍면동명,관공서수,은행수,종합병원수,일반병원수,약국수,대학교수,백화점수,슈퍼마켓수,극장수,숙박시설수,공항수,철도역수,버스터미널수,지하철역수,버스정거장수
170,상계3.4동,2,0,0,0,1,1,0,0,0,2,0,0,0,1,0
171,상계5동,0,0,0,0,2,0,0,0,0,2,0,0,0,1,2
172,상계6.7동,3,3,1,1,3,2,0,0,0,0,0,0,0,0,3
173,상계8동,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1
174,상계9동,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1
175,상계10동,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
176,녹번동,3,1,0,2,2,0,0,1,0,0,0,0,0,2,2
177,불광제1동,3,2,0,1,3,0,0,0,0,0,0,0,0,3,3
178,불광제2동,3,0,0,0,0,0,0,2,0,0,0,0,0,0,2
179,갈현제1동,0,1,1,0,2,0,0,0,0,0,0,0,0,2,3
180,갈현제2동,1,0,0,1,3,0,0,0,0,0,0,0,0,1,2
181,구산동,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2
182,대조동,1,2,0,1,3,0,0,0,0,0,0,0,0,0,3
183,응암제1동,2,2,0,1,3,0,0,0,0,0,0,0,0,0,1
184,응암제2동,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2
185,응암제3동,1,1,0,1,3,0,0,2,0,0,0,0,0,0,2
186,역촌동,2,2,0,2,3,0,0,0,0,0,0,0,0,0,3
187,신사제1동,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1
188,신사제2동,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
189,증산동,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0
190,수색동,2,1,0,0,1,0,0,2,0,0,0,0,0,3,1
191,진관동,3,2,0,0,3,0,0,0,0,0,0,0,0,1,3
192,천연동,2,0,0,0,0,2,0,0,0,1,0,0,0,0,3
193,북아현동,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
194,충현동,3,3,0,0,1,2,0,0,0,0,0,0,0,3,3
195,신촌동,3,3,1,0,3,2,1,0,0,2,0,0,0,2,3
